"definition_id","term","definition","source_anchor"
"MN-HF1606-DEF-001","Identifiable individual","A person identifiable from the media itself, by the depicted person or another person, or from personal information displayed with the media.","Minnesota Statutes 325E.91, subdivision 1(b)"
"MN-HF1606-DEF-002","Intimate part","Has the meaning provided in Minnesota Statutes section 609.341, subdivision 5.","Minnesota Statutes 325E.91, subdivision 1(c)"
"MN-HF1606-DEF-003","Nudify or nudified","Alteration or generation of realistic media depicting an intimate part not present in the original media of an identifiable individual.","Minnesota Statutes 325E.91, subdivision 1(d)"
"MN-HF1606-DEF-004","Technical skill","Substantial application of individualized technological or artistic skill and judgment by a human creator in directing, shaping, or controlling output.","Minnesota Statutes 325E.91, subdivision 1(e)"
