"jurisdiction","included_laws","total_structural_score","average_structural_score","strongest_policy_family","measurement_scope","raw_bill_volume_ranking"
"Colorado","1","24","24","COMPREHENSIVE_HIGH_RISK_AI","SELECTED_ENACTED_LAW_BACKBONE","FALSE"
"Texas","1","21","21","GENERAL_AI_PROHIBITIONS_AND_SANDBOX","SELECTED_ENACTED_LAW_BACKBONE","FALSE"
"California","1","18","18","GENERATIVE_AI_TRANSPARENCY_AND_PROVENANCE","SELECTED_ENACTED_LAW_BACKBONE","FALSE"
"Minnesota","1","17","17","SYNTHETIC_SEXUAL_MEDIA","SELECTED_ENACTED_LAW_BACKBONE","FALSE"
"Utah","1","16","16","AI_DISCLOSURE_AND_REGULATORY_LEARNING","SELECTED_ENACTED_LAW_BACKBONE","FALSE"
"Illinois","1","15","15","EMPLOYMENT_AI_AND_DISCRIMINATION","SELECTED_ENACTED_LAW_BACKBONE","FALSE"
"Tennessee","1","14","14","VOICE_LIKENESS_AND_DIGITAL_REPLICA","SELECTED_ENACTED_LAW_BACKBONE","FALSE"
