"verdict","provisional_count","percentage_of_corpus","expected_count_defined","target_count_supplied","quota_applied","rank_allocation_applied","generated_after_sealing","review_state"
"ADDRESSED","3","8.82","FALSE","FALSE","FALSE","FALSE","TRUE","PROVISIONAL_PENDING_ADVERSARIAL_REVIEW"
"PARTIALLY_ADDRESSED","5","14.71","FALSE","FALSE","FALSE","FALSE","TRUE","PROVISIONAL_PENDING_ADVERSARIAL_REVIEW"
"RELATED","1","2.94","FALSE","FALSE","FALSE","FALSE","TRUE","PROVISIONAL_PENDING_ADVERSARIAL_REVIEW"
"NOT_APPLICABLE","3","8.82","FALSE","FALSE","FALSE","FALSE","TRUE","PROVISIONAL_PENDING_ADVERSARIAL_REVIEW"
"GAP","11","32.35","FALSE","FALSE","FALSE","FALSE","TRUE","PROVISIONAL_PENDING_ADVERSARIAL_REVIEW"
"UNRESOLVED","11","32.35","FALSE","FALSE","FALSE","FALSE","TRUE","PROVISIONAL_PENDING_ADVERSARIAL_REVIEW"
