"relative_path","file_name","extension","category","row_count","parse_state","columns","last_write"
"data\statistics\PROVISIONAL_INDEPENDENT_VERDICT_DISTRIBUTION.csv","PROVISIONAL_INDEPENDENT_VERDICT_DISTRIBUTION.csv",".csv","OTHER","6","CSV_PARSED","verdict;provisional_count;percentage_of_corpus;expected_count_defined;target_count_supplied;quota_applied;rank_allocation_applied;generated_after_sealing;review_state","2026-07-30T16:47:37"
"data\statistics\RESIDUAL_DUTY_STATISTICS.csv","RESIDUAL_DUTY_STATISTICS.csv",".csv","OTHER","4","CSV_PARSED","residual_duty_class;residual_count;percentage_of_residuals;source_count;requirement_ids;external_authority_preserved;legal_compliance_claim","2026-07-30T15:21:36"
"data\statistics\SOURCE_COMPATIBILITY_STATISTICS.csv","SOURCE_COMPATIBILITY_STATISTICS.csv",".csv","SOURCE_CANDIDATE","2","CSV_PARSED","source_id;source_name;total_requirements;addressed;partially_addressed;related;not_applicable;gap;unresolved;legal_compliance_assessed","2026-07-30T15:17:27"
"data\statistics\SOURCE_VERDICT_DISTRIBUTION.csv","SOURCE_VERDICT_DISTRIBUTION.csv",".csv","SOURCE_CANDIDATE","2","CSV_PARSED","source_id;source_name;total_requirements;addressed;partially_addressed;related;not_applicable;gap;unresolved;architecturally_relevant;architecturally_relevant_pct;legal_compliance_assessed","2026-07-30T15:21:36"
"data\statistics\STATE_GOVERNANCE_SIGNIFICANCE.csv","STATE_GOVERNANCE_SIGNIFICANCE.csv",".csv","OTHER","7","CSV_PARSED","jurisdiction;included_laws;total_structural_score;average_structural_score;strongest_policy_family;measurement_scope;raw_bill_volume_ranking","2026-07-30T14:28:55"
"data\statistics\STRATEGIC_PRIORITY_REGISTER.csv","STRATEGIC_PRIORITY_REGISTER.csv",".csv","OTHER","11","CSV_PARSED","priority_id;priority_class;subject;evidence_basis;strategic_implication;recommended_release_treatment","2026-07-30T15:21:36"
"evidence\enacted-laws\MAJOR_ENACTED_AI_LAW_SOURCE_RECORD.md","MAJOR_ENACTED_AI_LAW_SOURCE_RECORD.md",".md","SOURCE_CANDIDATE","","MARKDOWN_AVAILABLE","","2026-07-30T14:24:18"
"evidence\federal\EO_14409_OFFICIAL_SOURCE_RECORD.md","EO_14409_OFFICIAL_SOURCE_RECORD.md",".md","SOURCE_CANDIDATE","","MARKDOWN_AVAILABLE","","2026-07-30T14:17:32"
"evidence\legislative-volume\LEGISLATIVE_VOLUME_SOURCE_RECORD.md","LEGISLATIVE_VOLUME_SOURCE_RECORD.md",".md","SOURCE_CANDIDATE","","MARKDOWN_AVAILABLE","","2026-07-30T14:28:56"
"evidence\orynth\ORYNTH_PUBLIC_ARTIFACT_SOURCE_RECORD.md","ORYNTH_PUBLIC_ARTIFACT_SOURCE_RECORD.md",".md","SOURCE_CANDIDATE","","MARKDOWN_AVAILABLE","","2026-07-30T14:56:02"
"evidence\states\Minnesota\HF_1606_FINAL_SOURCE_RECORD.md","HF_1606_FINAL_SOURCE_RECORD.md",".md","SOURCE_CANDIDATE","","MARKDOWN_AVAILABLE","","2026-07-30T14:20:36"
"public\ORYNTH_AI_GOVERNANCE_CROSSWALK_PUBLIC_SUMMARY.md","ORYNTH_AI_GOVERNANCE_CROSSWALK_PUBLIC_SUMMARY.md",".md","REQUIREMENT_CANDIDATE","","MARKDOWN_AVAILABLE","","2026-07-30T15:41:45"
"public\README.md","README.md",".md","OTHER","","MARKDOWN_AVAILABLE","","2026-07-30T15:41:45"
