"jurisdiction","enacted_or_in_force_records","policy_families","earliest_effective_date","latest_effective_date"
"United States","1","FRONTIER_MODEL_CYBERSECURITY","2026-06-02","2026-06-02"
"Minnesota","1","SYNTHETIC_SEXUAL_MEDIA","2026-08-01","2026-08-01"
"Colorado","1","COMPREHENSIVE_HIGH_RISK_AI","2026-06-30","2026-06-30"
"Texas","1","GENERAL_AI_PROHIBITIONS_AND_SANDBOX","2026-01-01","2026-01-01"
"Utah","1","AI_DISCLOSURE_AND_REGULATORY_LEARNING","2024-05-01","2024-05-01"
"California","1","GENERATIVE_AI_TRANSPARENCY_AND_PROVENANCE","2026-01-01","2026-01-01"
"Illinois","1","EMPLOYMENT_AI_AND_DISCRIMINATION","2026-01-01","2026-01-01"
"Tennessee","1","VOICE_LIKENESS_AND_DIGITAL_REPLICA","2024-07-01","2024-07-01"
