"record_id","jurisdiction","measure","title","introduction_or_issue_date","enactment_or_signature_date","effective_date","implementation_date","policy_family"
"UT-SB-149","Utah","SB 149","Artificial Intelligence Amendments","2024-01-25","2024-03-13","2024-05-01","2024-05-01","AI_DISCLOSURE_AND_REGULATORY_LEARNING"
"TN-HB-2091","Tennessee","HB 2091","Ensuring Likeness, Voice, and Image Security Act","2024-01-25","2024-03-21","2024-07-01","2024-07-01","VOICE_LIKENESS_AND_DIGITAL_REPLICA"
"CA-SB-942","California","SB 942","California AI Transparency Act","2024-01-17","2024-09-19","2026-01-01","2026-01-01","GENERATIVE_AI_TRANSPARENCY_AND_PROVENANCE"
"IL-HB-3773","Illinois","HB 3773","Artificial Intelligence in Employment","2023-02-17","2024-08-09","2026-01-01","2026-01-01","EMPLOYMENT_AI_AND_DISCRIMINATION"
"TX-HB-149","Texas","HB 149","Texas Responsible Artificial Intelligence Governance Act","2025-03-14","2025-06-22","2026-01-01","2026-01-01","GENERAL_AI_PROHIBITIONS_AND_SANDBOX"
"FED-EO-14409","United States","Executive Order 14409","Promoting Advanced Artificial Intelligence Innovation and Security","2026-06-02","2026-06-02","2026-06-02","2026-08-01","FRONTIER_MODEL_CYBERSECURITY"
"CO-SB24-205","Colorado","SB 24-205","Consumer Protections for Artificial Intelligence","2024-04-10","2024-05-17","2026-06-30","2026-06-30","COMPREHENSIVE_HIGH_RISK_AI"
"MN-HF-1606","Minnesota","HF 1606","Nudification Technology Access Prohibition","2025-02-26","2026-05-07","2026-08-01","2026-08-01","SYNTHETIC_SEXUAL_MEDIA"
